103,"in","krt",inanimate,ことを1回する動作を所有している,aorist
104,"in","krt",agent,動作の状態を所有している,perfect
105,"in","krt",inanimate,動作の状態を所有している,perfect
106,"ka","unadi",agent,ことをする人,root
107,"ka","unadi",action,こと,root
108,"aka","krt",animal,ことをする人、生物,strong
109,"aka","krt",inanimate,ことをする物,strong
110,"aka","krt",animal,ことをする人、生物,redumplication
111,"aka","krt",inanimate,ことをする物,redumplication
112,"ikā","krt",action,ことをする人や物の抽象名詞,strong
113,"ikā","krt",action,ことをする人や物の抽象名詞,redumplication
114,"aku","unadi",animal,ことをする人、生物,causative
115,"aku","unadi",inanimate,ことをする物,causative
116,"āka","unadi",animal,ことをする人、生物,root
117,"āka","unadi",inanimate,ことをする物,root
118,"āka","unadi",animal,ことをする人、生物,causative
119,"āka","unadi",inanimate,ことをする物,causative
120,"āka","unadi",animal,ことをする人、生物,present
121,"āka","unadi",inanimate,ことをする物,present
122,"ma","unadi",agent,ことをする人、動作,root
123,"ma","unadi",agent,ことをする人、動作,redumplication
124,"mi","unadi",agent,に関連するもの,root
125,"mi","unadi",action,に関連する概念,root
126,"man","krt",agent,ことをする人,weak
127,"man","krt",inanimate,動作,weak
128,"man","krt",agent,ことをする人,middle
129,"man","krt",inanimate,動作,middle
130,"man","krt",agent,ことをする人,strong
131,"man","krt",inanimate,動作,strong
132,"na","krt",animal,動作の性質を持つ人、生物,root
133,"na","krt",inanimate,動作の性質を持つ非生物、物体,root
134,"na","krt",action,動作の性質を持つこと、概念,root
135,"ni","krt",agent,ことをする動作,root
136,"ni","krt",agent,ことをする動作,redumplication
137,"ni","krt",agent,ことをさせるする動作,causative
138,"ni","krt",agent,動作をする動作,present
139,"nu","krt",animal,する人、生物,root
140,"nu","krt",inanimate,する非生物、物体,root
141,"nu","krt",action,すること、概念,root
142,"la","krt",animal,動作の性質を持つ人、生物,root
143,"la","krt",inanimate,動作の性質を持つ非生物、物体,root
144,"la","krt",action,動作の性質を持つこと、概念,root
145,"la","krt",adjective,動作の性質を持つ形容詞,root
146,"ra","krt",animal,動作の性質を持つ人、生物,root
147,"ra","krt",inanimate,動作の性質を持つ非生物、物体,root
148,"ra","krt",action,動作の性質を持つこと、概念,root
149,"ra","krt",adjective,動作の性質を持つ形容詞,root
150,"ri","unadi",animal,動作をする人、生物,root
151,"ri","unadi",inanimate,動作をする非生物、物体,root
152,"ri","unadi",action,動作をすること、概念,root
153,"ri","unadi",adjective,動作の性質を持つ形容詞,root
154,"ru","unadi",inanimate,人、もの、こと,root
155,"ta","krt",animal,動作の性質を持つ人、生物,root
156,"ta","krt",inanimate,動作の性質を持つ非生物、物体,root
157,"tā","krt",action,動作の性質を持つこと、概念,root
158,"ita","krt",animal,動作の影響を受ける人、生物,root
159,"ita","krt",inanimate,動作の影響を受けるもの,root
160,"ti","krt",action,行為,root
161,"ti","krt",action,行為,redumplication
162,"ti","krt",action,ことをさせるする行為,causative
163,"ti","krt",action,動作をする行為,present
164,"tṛ́","krt",agent,人,middle
165,"tṛ́","krt",inanimate,物や道具,middle
166,"tṛ́","krt",agent,人,redumplication
167,"tṛ́","krt",inanimate,物や道具,redumplication
168,"tṛ́","krt",agent,させる人,causative
169,"tṛ́","krt",inanimate,させる物や道具,causative
170,"tṛ́","krt",agent,動作をする人,present
171,"tṛ́","krt",inanimate,動作をする物や道具,present
172,"tṛ́","krt",agent,ことを1回する人,aorist
173,"tṛ́","krt",inanimate,ことを1回する物や道具,aorist
174,"trī","krt",action,職業や役割,middle
175,"trī","krt",action,職業や役割,redumplication
176,"trī","krt",action,させる職業や役割,causative
177,"trī","krt",action,職業や役割,present
178,"trī","krt",action,ことを1回する職業や役割,aorist
179,"tha","krt",animal,目的や目標、行動に関する人・生き物,weak
180,"tha","krt",inanimate,目的や目標、行動に関する物体,weak
181,"thā","krt",action,目的や目標、行動に関する概念、そのもの,weak
182,"thu","krt",animal,に関連する人、生物,root
183,"thu","krt",inanimate,に関連する物体,root
184,"thu","krt",action,に関連する概念,root
185,"thu","krt",animal,に関連する人、生物,redumplication
186,"thu","krt",inanimate,に関連する物体,redumplication
187,"thu","krt",action,に関連する概念,redumplication
188,"tra","krt",animal,生きている道具,middle
189,"tra","krt",inanimate,道具、場所,middle
190,"tra","krt",animal,生きている道具,redumplication
191,"tra","krt",inanimate,道具、場所,redumplication
192,"tra","krt",animal,動作をする生きている道具,present
193,"tra","krt",inanimate,動作をする道具,present
194,"trā","krt",action,手段,middle
195,"trā","krt",action,手段,redumplication
196,"trā","krt",action,動作をする手段,present
197,"tu","krt",action,動作,root
198,"tu","krt",action,動作をする動作,present
199,"snu","unadi",animal,ことに関連する人、生物,root
200,"snu","unadi",inanimate,ことに関連するもの,root
201,"snu","unadi",animal,ことに関連する人、生物,redumplication
202,"snu","unadi",inanimate,ことに関連するもの,redumplication
203,"snu","unadi",animal,ことに関連する人、生物,causative
204,"snu","unadi",inanimate,ことに関連するもの,causative
205,"snū","unadi",action,ことに関連する概念,root
206,"snū","unadi",action,ことに関連する概念,redumplication
207,"snū","unadi",action,ことに関連する概念,causative
208,"snu","unadi",adjective,ことに関連する形容詞,root
209,"snu","unadi",adjective,ことに関連する形容詞,redumplication
210,"snu","unadi",adjective,ことに関連する形容詞,causative
211,"tnu","unadi",animal,ことに関連する人、生物,root
212,"tnu","unadi",inanimate,ことに関連するもの,root
213,"tnu","unadi",animal,ことに関連する人、生物,redumplication
214,"tnu","unadi",inanimate,ことに関連するもの,redumplication
215,"tnu","unadi",animal,ことをさせることに関連する人、生物,causative
216,"tnu","unadi",inanimate,ことをさせることことに関連するもの,causative
217,"tnū","unadi",action,に関連する概念,root
218,"tnū","unadi",action,に関連する概念,redumplication
219,"tnū","unadi",action,ことをさせることに関連する概念,causative
220,"tnu","unadi",adjective,ことに関連する形容詞,root
221,"tnu","unadi",adjective,ことに関連する形容詞,redumplication
222,"tnu","unadi",adjective,ことをさせることに関連する形容詞,causative
223,"sa","unadi",animal,ことに関連する人、生物,root
224,"sa","unadi",inanimate,ことに関連するもの,root
225,"sa","unadi",action,に関連する概念,root
226,"sna","unadi",agent,ことに関連する物体,root
227,"sna","unadi",action,ことに関連する概念,root
228,"u","krt",animal,行為をする人、生物,middle
229,"u","krt",inanimate,行為をするもの,middle
230,"u","krt",animal,行為をする人、生物,redumplication
231,"u","krt",inanimate,行為をするもの,redumplication
232,"u","krt",animal,ことをさせる行為をする人、生物,causative
233,"u","krt",inanimate,ことをさせる行為をするもの,causative
234,"u","krt",animal,行為をしたい人、生物,desiderative
235,"u","krt",inanimate,行為をしたいもの,desiderative
236,"u","krt",animal,動作をする人、生物,present
237,"u","krt",inanimate,動作をするもの,present
238,"u","krt",animal,ことを1回する人、生物,aorist
239,"u","krt",inanimate,ことを1回するもの,aorist
240,"ū","krt",action,行為をする人や物の抽象名詞,root
241,"ū","krt",action,行為をする人や物の抽象名詞,middle
242,"ū","krt",action,行為をする人や物の抽象名詞,redumplication
243,"ū","krt",action,ことをさせる人や物の抽象名詞,causative
244,"ū","krt",action,ことをしたい人や物の抽象名詞,desiderative
245,"ū","krt",action,動作をする人や物の抽象名詞,present
246,"ū","krt",action,ことを1回する人や物の抽象名詞,aorist
247,"u","krt",adjective,ことの形容詞,root
248,"u","krt",adjective,ことの形容詞,middle
249,"u","krt",adjective,ことの形容詞,redumplication
250,"u","krt",adjective,ことをさせる形容詞,causative
251,"u","krt",adjective,ことをしたい形容詞,desiderative
252,"u","krt",adjective,動作をしている形容詞,present
253,"u","krt",adjective,ことを1回する形容詞,aorist
254,"va","unadi",animal,に関連する人、生物,weak
255,"va","unadi",inanimate,に関連する物体,weak
256,"va","unadi",action,に関連する概念,weak
257,"vi","unadi",animal,に関連する人、生物,redumplication
258,"vi","unadi",inanimate,に関連する物体,redumplication
259,"vi","unadi",action,に関連する概念,redumplication
260,"van","krt",animal,行為をする人,root
261,"van","krt",inanimate,行為をするもの,root
262,"vana","krt",action,行為をする人や物の概念,root
263,"vara","unadi",agent,行為をする人,root
264,"vara","unadi",agent,行為をする人,redumplication
265,"ya","krt",animal,に関連する人、生物,root
266,"ya","krt",inanimate,に関連する物体,root
267,"ya","krt",action,に関連する概念,root
268,"ya","krt",adjective,に関連する形容詞,root
,"a","taddhita",animal,の付属する、関連する、産物の人、生物,noun
,"a","taddhita",inanimate,の付属する、関連する、産物の物体,noun
,"ā","taddhita",action,の付属する、関連する、産物の概念,noun
,"a","taddhita",adjective,の付属する、関連する、産物の形容詞,noun
,"a","taddhita",animal,の付属する、関連する、産物の人、生物,adjective
,"a","taddhita",inanimate,の付属する、関連する、産物の物体,adjective
,"ā","taddhita",action,の付属する、関連する、産物の概念,adjective
,"a","taddhita",adjective,の付属する、関連する、産物の形容詞,adjective
,"in","taddhita",animal,を持つ人、生物,noun-a
,"in","taddhita",inanimate,を持つ物体,noun-a
,"in","taddhita",action,を持つ概念,noun-a
,"in","taddhita",adjective,を持つ形容詞,noun-a
,"min","taddhita",animal,を持つ人、生物,noun
,"min","taddhita",inanimate,を持つ物体,noun
,"min","taddhita",action,を持つ概念,noun
,"min","taddhita",adjective,を持つ形容詞,noun
,"vin","taddhita",animal,を持つ人、生物,noun-as
,"vin","taddhita",inanimate,を持つ物体,noun-as
,"vin","taddhita",action,を持つ概念,noun-as
,"vin","taddhita",adjective,を持つ形容詞,noun-as
,"iman","taddhita-unadi",animal,さ、み,adjective
,"kaṭa","taddhita-unadi",animal,に関連する人、生物,noun
,"kaṭa","taddhita-unadi",inanimate,に関連する物体,noun
,"ka",,,,
,"aka",,,,
,"ika",,,,
,"nī",,,,
,"āna",,,,
,"īna",,,,
,"ina",,,,
,"ena",,,,
,"ima",,,,
,"ma",,,,
,"mna",,,,
,"maya","taddhita",adjective,から作られた、に富んだ、製,noun
,"mat","taddhita",adjective,のような、みたい、のように、如く、ぽい、ような,noun
,"vat","taddhita",adjective,のような、みたい、のように、如く、ぽい、ような、そう,noun
,"na","taddhita-unadi",adjective,に関連する形容詞,noun
,"la","taddhita-unadi",adjective,に関連する形容詞,noun
,"lu","taddhita-unadi",adjective,に関連する形容詞,noun
,"ra","taddhita-unadi",adjective,に関連する形容詞,noun
,"ta","taddhita-unadi",adjective,に関連する形容詞,noun
,"tā","taddhita",action,的、状、性、味,noun
,"tāti","taddhita-unadi",action,的、状、性、味,noun
,"tana",,,,
,"tna",,,,
,"tha",,,,
,"tva",,,,
,"tvana",,,,
,"tya",,,,
,"śa",,,,
,"va",,,,
,"vala",,,,
,"vaya",,,,
,"vya",,,,
,"ya",,,,
,"iya",,,,
,"īya",,,,
,"eya",,,,
,"enya",,,,
,"āyya",,,,
,"āyya",,,,
,"āyana",,,,
,"āyī",,,,
