ajyeyatA,f
aYcatI,f
aYcitaBrU,f
aYjanakI,f
aYjanakeSI,f
aYjananAmikA,f
aYjanA,f
aYjanADikA,f
aYjanAvatI,f
aYjanikA,f
aYjanI,f
aYjalikA,f
aYjalikArikA,f
aYjasI,f
aYjihizA,f
aYjI,f
awawyA,f
awani,f
awanI,f
awavi,f
awavI,f
awA,f
awAwA,f
awAwyA,f
awwasTalI,f
awwA,f
awwAlikA,f
awwilikA,f
awyA,f
aWillA,f
aqakavatI,f
aRI,f
aRutA,f
aRuBA,f
aRurevatI,f
aRqakowarapuzpI,f
aRqajA,f
aRqavfdDi,f
aRqasU,f
aRqAkfti,f
aRqikA,f
aRvI,f
atasI,f
atikaTa,f
atikaTA,f
atikfti,f
atikrAnti,f
atikruD,f
atiguhA,f
atigo,f
atiGnI,f
aticarA,f
atiCattraka,f
atiCattrakA,f
atiCattrA,f
atijagatI,f
atijIrRatA,f
atitIvrA,f
atitfpti,f
atitfzRA,f
atiTikriyA,f
atiTipUjA,f
atiTisevA,f
atiDfti,f
atinicft,f
atinidrA,f
atipaYcA,f
atipatti,f
atipAdanicft,f
atipravftti,f
atiprasakti,f
atibalA,f
atiBUmi,f
atimati,f
atimAnitA,f
atimukti,f
atimUrti,f
atimodA,f
atiyAtrA,f
atiraktA,f
atirasA,f
atirAjYI,f
atiriktatA,f
atirucirA,f
atilakzmI,f
atilihA,f
atiloBatA,f
atilomaSA,f
ativakrA,f
ativiSrabDanavoQA,f
ativizA,f
ativftti,f
ativfdDi,f
ativfzwi,f
ativyaTA,f
ativyApti,f
atiSaMsanA,f
atiSakkarI,f
atiSakti,f
atiSaktitA,f
atiSakvarI,f
atiSaNkA,f
atiSayanI,f
atiSayokti,f
atiSayopamA,f
atizWA,f
atisakti,f
atisarasvatI,f
atisAmyA,f
atisidDi,f
atisfzwi,f
atisevA,f
atistuti,f
atItvarI,f
atuzwi,f
atfRyA,f
atfpti,f
attA,f
atti,f
attikA,f
atyantagati,f
atyantatiraskftavAcyaDvani,f
atyamlaparRI,f
atyamlA,f
atyazwi,f
atyazwisAmagrI,f
atyApti,f
atyArUQi,f
atyASA,f
atyuktA,f
atyukti,f
atyukTA,f
atyUDnI,f
atyUhA,f
atriBAradvAjikA,f
atrisaMhitA,f
atrismfti,f
atvarA,f
aTari,f
aTarI,f
aTarvaSiKA,f
aTarvI,f
adattA,f
adalA,f
aditi,f
adInagAtratA,f
aduHKanavamI,f
aduHKasuKavedanA,f
adfSyatI,f
adfzwi,f
adfzwikA,f
adevatA,f
adevfGnI,f
adButopamA,f
adyatanI,f
adyaSvInA,f
adyasutyA,f
adrikarRI,f
adrikA,f
adrikIlA,f
adrikftasTalI,f
adrijA,f
adritanayA,f
adrinandinI,f
adriBU,f
adrohavftti,f
advAr,f
advEtadIpikA,f
advEtabrahmasidDi,f
advEtopanizad,f
aDaHkriyA,f
aDaHpuzpI,f
aDaHSayyA,f
aDaHSAyitA,f
aDamA,f
aDarahanu,f
aDarA,f
aDarAraRi,f
aDarmacaryA,f
aDarmA,f
aDarmottaratA,f
aDavA,f
aDastAddiS,f
aDi,f
aDikatA,f
aDikaraRamAlA,f
aDikavAkyokti,f
aDikAritA,f
aDikfti,f
aDicittaSikzA,f
aDijarAyu,f
aDijihvikA,f
aDityakA,f
aDidevatA,f
aDidyo,f
aDipativatI,f
aDipatnI,f
aDiprajYASikzA,f
aDimitratA,f
aDimukti,f
aDirUQA,f
aDirUQi,f
aDirohaRI,f
aDirohiRI,f
aDivasati,f
aDivAsanA,f
aDivAsaBUmi,f
aDivAsitA,f
aDivinnA,f
aDivettavyA,f
aDivedanIyA,f
aDivedyA,f
aDiSIlaSikzA,f
aDiSrayaRI,f
aDizkannA,f
aDisenApati,f
aDistrI,f
aDIti,f
aDInatA,f
aDIratA,f
aDIrA,f
aDfti,f
aDfzyA,f
aDogati,f
aDoGaRwA,f
aDojihvikA,f
aDodiS,f
aDodfzwi,f
aDonIvI,f
aDoBUmi,f
aDomuKA,f
aDyaRqA,f
aDyayanasaMvftti,f
aDyarDopA,f
aDyavasiti,f
aDyARqA,f
aDyAtmavidyA,f
aDyAsyA,f
aDyAhAriRI,f
aDyudDi,f
aDyupekzA,f
aDyUQA,f
aDyUDnI,f
aDripuzpalikA,f
aDvagA,f
aDvajA,f
aDvarakalpA,f
aDvaradIkzaRIyA,f
aDvaraprAyaScitti,f
aDvaryu,f
anaMSumatPalA,f
anagArikA,f
anagnatA,f
anaGAzwamI,f
anaNgakrIqA,f
anaNgadevI,f
anaNgalatikA,f
anaNgaleKA,f
anaNgavidyA,f
anaNgasenA,f
anajakA,f
anajikA,f
anaqujjihvA,f
anaquhI,f
anaqvAhI,f
anativftti,f
anatyantagati,f
anaDikAracarcA,f
ananuKyAti,f
ananuBAvakatA,f
anantacaturdaSI,f
anantatA,f
anantatftIyA,f
anantariti,f
anantarhiti,f
anantaSIrzA,f
anantA,f
ananyagati,f
ananyatA,f
ananyapUrvA,f
anapakriyA,f
anapatyatA,f
anapatrapA,f
anapekzA,f
anapsaras,f
anaPA,f
anaByanujYA,f
anaBravfzwi,f
anarhyatA,f
analapraBA,f
analapriyA,f
anavacCitti,f
anavadAnIya,f
anavadyatA,f
anavadyA,f
anavaDAnatA,f
anavasitA,f
anavasTA,f
anavasTiti,f
anavasnAtA,f
anavAnatA,f
anavApti,f
anavekzA,f
anaSanatA,f
anasUyA,f
anahaMkfti,f
anAkrAntA,f
anAgatArtavA,f
anAgati,f
anAgA,f
anAgohatyA,f
anAtmatA,f
anAtmapratyavekzA,f
anATasaBA,f
anAnujA,f
anAnupUrvyasaMhitA,f
anAnuBUti,f
anApad,f
anApti,f
anAmikA,f
anAyattavfttitA,f
anAyuzA,f
anAyus,f
anArti,f
anAryatA,f
anAlambI,f
anAlamBukA,f
anAvftti,f
anAvfzwi,f
anAsTA,f
anAhuti,f
anikfti,f
anicCA,f
aniwkArikA,f
anitaBA,f
anityakriyA,f
anityatA,f
anityapratyavekzA,f
anidrA,f
anindA,f
animittalipi,f
aniyatapuMskA,f
aniyamopamA,f
anirA,f
anirudDaBAvinI,f
anirmAlyA,f
anirvfti,f
anirvftti,f
anizwaSaNkA,f
anizwA,f
anizwApti,f
anizWA,f
anizpatti,f
anI,f
anIkinI,f
anIti,f
anISA,f
anISvaratA,f
anIhA,f
anukaRWI,f
anukampA,f
anukANkzA,f
anukUlatA,f
anukUlA,f
anukfti,f
anukxpti,f
anuktasidDi,f
anukti,f
anukramaRikA,f
anukramaRI,f
anukriyA,f
anuKyAti,f
anugaRqikA,f
anugati,f
anugantI,f
anugA,f
anugItA,f
anugIti,f
anucarA,f
anucarI,f
anucArikA,f
anucintA,f
anucCitti,f
anujA,f
anujAtA,f
anujAsutA,f
anujiGfkzA,f
anujYapti,f
anujYA,f
anujYAprArTanA,f
anujYEzaRA,f
anutaptA,f
anuttarapUjA,f
anuttaropapAtikadaSA,f
anutpatti,f
anutpattikaDarmakzAnti,f
anutpAdakzAnti,f
anutsAhatA,f
anutsukatA,f
anudaRqi,f
anudfzwi,f
anudeyI,f
anuDyA,f
anunAyikA,f
anuninIzA,f
anunirvApyA,f
anunIti,f
anupadavI,f
anupadInA,f
anupapatti,f
anupamA,f
anupalabDi,f
anupasTiti,f
anupahatakarRendriyatA,f
anupUrvagAtratA,f
anupUrvadaMzwratA,f
anupUrvavatsA,f
anupUrvANgulitA,f
anupravftti,f
anuprasakti,f
anubanDI,f
anuBayAtmatA,f
anuBAvakatA,f
anuBUti,f
anumati,f
anumA,f
anumAnamaRidIDiti,f
anumAnokti,f
anumiti,f
anumftA,f
anumlocantI,f
anumlocA,f
anuyAyitA,f
anurakti,f
anurati,f
anuraTyA,f
anurAgiRI,f
anurAgitA,f
anurADA,f
anuruhA,f
anurevatI,f
anuroDitA,f
anulA,f
anulepikA,f
anulomapariRItA,f
anulomA,f
anulomikI,f
anuvartitA,f
anuvA,f
anuvAkasaNKyA,f
anuvAkAnukramaRI,f
anuvAkyA,f
anuvAc,f
anuvAdinI,f
anuvitti,f
anuvftti,f
anuvrajyA,f
anuSayAnA,f
anuSayI,f
anuSAsti,f
anuSikzA,f
anuSiSu,f
anuSizwi,f
anuSuSrUzA,f
anuzakti,f
anuzwuti,f
anuzwupsampad,f
anuzwubgarBA,f
anuzwuB,f
anuzWAnI,f
anuzWi,f
anuzRavallikA,f
anuzRA,f
anusaMjYapti,f
anusaMtati,f
anusftavatsA,f
anusfti,f
anustaraRI,f
anusmfti,f
anUkA,f
anUkti,f
anUQA,f
anUti,f
anUDas,f
anUnA,f
anUlA,f
anfRatA,f
anfRyatA,f
anftukanyA,f
anfSaMsatA,f
anekatA,f
anekaDarmakaTA,f
anekArTaDvanimaYjarI,f
anEkAntikatA,f
anOcitI,f
antaHpuracArikA,f
antaHpuravfdDA,f
antaHpurikA,f
antaHpUjA,f
antaHprakfti,f
antaHSAnti,f
antaHSilA,f
antaHsattvA,f
antaHsTA,f
antakadruh,f
antakfddaSA,f
antamasTA,f
antaradiSA,f
antaraBAvanA,f
antarAdiS,f
antarApatyA,f
antarAvedI,f
antarikzayAnI,f
antariti,f
antargaNgA,f
antargatopamA,f
antardaSA,f
antardiS,f
antarDA,f
antarBAvanA,f
antarBUmi,f
antarvartinI,f
antarvftti,f
antarvedI,f
antarhiti,f
antavelA,f
antaSayyA,f
antasatkriyA,f
anti,f
antikagati,f
antikatA,f
antikA,f
antI,f
antyakriyA,f
antyayoni,f
antyavipulA,f
antyAhuti,f
antyezwi,f
antyezwikriyA,f
antraMDami,f
antravfdDi,f
antraSilA,f
antrasraj,f
antrI,f
andikA,f
andu,f
andU,f
anDakI,f
anDatA,f
anDapUtanA,f
anDamUzA,f
anDamUzikA,f
anDarAtrI,f
anDAlajI,f
anDikA,f
anDrajAti,f
annagati,f
annajA,f
annadevatA,f
annapatnI,f
annapUrRA,f
annarakzA,f
annalipsA,f
annavikfti,f
annABiruci,f
annikA,f
anyakArukA,f
anyajanatA,f
anyataHplakzA,f
anyatA,f
anyaTAkfti,f
anyaTAKyAti,f
anyaTAsidDi,f
anyadASA,f
anyadASis,f
anyapUrvA,f
anyA,f
anyokti,f
anyoQA,f
anyonyasparDA,f
anyonyokti,f
anyonyopamA,f
anvayavyApti,f
anvarTasaMjYA,f
anvavekzA,f
anvazwakA,f
anvAkfti,f
anvAramBaRIyA,f
anvicCA,f
anviti,f
anvIkzA,f
ap,f
apakAragir,f
apakAratA,f
apakIrti,f
apakfti,f
apakfzwatA,f
apakti,f
apakrAnti,f
apakriyA,f
apakvatA,f
apakzatA,f
apaKyAti,f
apagA,f
apaGAwilA,f
apaNkatA,f
apacikIrzA,f
apacit,f
apaciti,f
apacI,f
apacCAyA,f
apacCid,f
apajihIrzA,f
apawI,f
apawIkA,f
apawutA,f
apati,f
apatikA,f
apatiGnI,f
apatitA,f
apatiputrA,f
apativratA,f
apatuzAratA,f
apattrA,f
apatyatA,f
apatyadA,f
apatrapA,f
apaTA,f
apadaruhA,f
apadarohiRi,f
apadfzwi,f
apadevatA,f
apaDA,f
apaninIzA,f
apanIti,f
apanutti,f
apapIqA,f
apaprajAtA,f
apaBaraRI,f
apaBUti,f
apamajyA,f
apamaSiYjinI,f
apamfzwi,f
aparaganDikA,f
aparatA,f
apararAtri,f
aparavaktrA,f
