"416","ṛgvedas","ṛgveda","Masculine",2,,
"417","ṛjras","ṛjra","Masculine",2,,
"418","ṛśas","ṛśa","Masculine",2,,
"419","ṛśyas","ṛśya","Masculine",2,,
"420","ṛṣabhas","ṛṣabha","Masculine",2,,
"421","ekāhas","ekāha","Masculine",2,,
"422","eḍas","eḍa","Masculine",2,,
"423","edhas","edha","Masculine",2,,
"424","evas","eva","Masculine",2,,
"425","aindavas","aindava","Masculine",2,,
"426","okāras","okāra","Masculine",2,,
"427","oghas","ogha","Masculine",2,,
"428","oṣas","oṣa","Masculine",2,,
"429","oṣṭhas","oṣṭha","Masculine",2,,
"430","oṣṭhyas","oṣṭhya","Masculine",2,,
"431","kakṣas","kakṣa","Masculine",2,,
"432","kaṅkatas","kaṅkata","Masculine",2,,
"433","kacchapas","kacchapa","Masculine",2,,
"434","kaccheṣṭas","kaccheṣṭa","Masculine",2,,
"435","kaṭhinapṛṣṭhas","kaṭhinapṛṣṭha","Masculine",2,,
"436","kaṭhinapṛṣṭhakas","kaṭhinapṛṣṭhaka","Masculine",2,,
"437","kaṇas","kaṇa","Masculine",2,,
"438","kaṇṭhas","kaṇṭha","Masculine",2,,
"439","kadas","kada","Masculine",2,,
"440","kandas","kanda","Masculine",2,,
"441","kandaras","kandara","Masculine",2,,
"442","kapiśākas","kapiśāka","Masculine",2,,
"443","kapīśas","kapīśa","Masculine",2,,
"444","kapotas","kapota","Masculine",2,,
"445","kapolas","kapola","Masculine",2,,
"446","kampas","kampa","Masculine",2,,
"447","karas","kara","Masculine",2,,
"448","karadīpas","karadīpa","Masculine",2,,
"449","karikas","karika","Masculine",2,,
"450","karikumbhas","karikumbha","Masculine",2,,
"451","karikusumbhas","karikusumbha","Masculine",2,,
"452","karijas","karija","Masculine",2,,
"453","karidantas","karidanta","Masculine",2,,
"454","karidārakas","karidāraka","Masculine",2,,
"455","karipas","karipa","Masculine",2,,
"456","karipathas","karipatha","Masculine",2,,
"457","karipotas","karipota","Masculine",2,,
"458","karibandhas","karibandha","Masculine",2,,
"459","karimakaras","karimakara","Masculine",2,,
"460","karimācalas","karimācala","Masculine",2,,
"461","karimukhas","karimukha","Masculine",2,,
"462","karivaras","karivara","Masculine",2,,
"463","kariśāvakas","kariśāvaka","Masculine",2,,
"464","kariskandhas","kariskandha","Masculine",2,,
"465","karihastas","karihasta","Masculine",2,,
"466","karīndras","karīndra","Masculine",2,,
"467","kargadas","kargada","Masculine",2,,
"468","karmadhārayas","karmadhāraya","Masculine",2,,
"469","kalamas","kalama","Masculine",2,,
"470","kalaviṅkas","kalaviṅka","Masculine",2,,
"471","kalaśas","kalaśa","Masculine",2,,
"472","kalkāñjanas","kalkāñjana","Masculine",2,,
"473","kaśas","kaśa","Masculine",2,,
"474","kaśaplakas","kaśaplaka","Masculine",2,,
"475","kaśmīras","kaśmīra","Masculine",2,,
"476","kaśyapas","kaśyapa","Masculine",2,,
"477","kaśyapamīras","kaśyapamīra","Masculine",2,,
"478","kaṣṭas","kaṣṭa","Masculine",2,,
